"","genotype","pref","pixels"
"340","LVP",-0.896067415730337,1424
"341","LVP",-0.952516619183286,2106
"342","LVP",0.0437869822485207,1690
"343","LVP",-0.767554479418886,1239
"344","LVP",0.0776255707762557,1314
"345","LVP",-0.998645903859174,1477
"346","LVP",-0.997350993377483,755
"347","LVP",-0.963636363636364,660
"348","LVP",-0.936042638241173,1501
"349","LVP",-0.876106194690266,1582
"350","LVP",-0.882352941176471,17
"351","LVP",-0.987519500780031,1282
"352","LVP",-0.148148148148148,54
"353","LVP",-0.817811012916383,1471
"354","LVP",-0.900783289817232,1149
"355","LVP",-0.975294778214486,1781
"356","LVP",-0.899388171312033,1471
"357","LVP",-0.841702127659574,1175
"358","LVP",-0.90625,128
"359","LVP",-0.88135593220339,118
"360","LVP",-0.993855606758833,1302
"361","LVP",-0.102040816326531,49
"362","LVP",-0.967623252391464,1359
"363","LVP",-0.984202211690363,1266
"364","LVP",-1,1271
"365","LVP",-0.993294216261526,1193
"366","LVP",-0.846062759029011,1689
"367","LVP",-0.996581196581197,1755
"368","LVP",-0.973118279569892,744
"369","LVP",-0.933130699088146,658
"370","LVP",-0.99017199017199,1628
"371","LVP",-0.364875701684042,1247
"372","LVP control",0.991540184125404,4019
"373","LVP control",0.806949806949807,259
"374","LVP control",0.975996159385502,2083
"375","LVP control",0.730224051211706,2187
"376","LVP control",-0.334529147982063,1115
"377","LVP control",0.0606060606060606,264
"378","LVP control",-0.114179230899543,11806
"379","LVP control",0.75089697590979,1951
"380","LVP control",0.258064516129032,62
"381","LVP control",-0.639344262295082,122
"382","LVP control",-0.620253164556962,79
"383","LVP control",-0.14041514041514,819
"384","LVP control",0.673642705489839,3297
"385","LVP control",0.486508585445626,1223
"386","LVP control",0.584427342689,2209
"387","LVP control",-0.414814814814815,270
"388","LVP control",-0.7736748064324,1679
"389","LVP control",0.613472333600642,1247
"390","LVP control",0.527304499781564,2289
"391","LVP control",0.159779614325069,726
"392","LVP control",0.736546184738956,2490
"393","LVP control",0.418240257131378,2489
"394","LVP control",-0.785571142284569,1996
"395","LVP control",-0.37603305785124,484
"396","LVP control",-0.286809197256958,2479
"397","LVP control",-0.551401869158878,1926
"398","LVP control",-0.693382655158241,2433
"399","LVP control",-0.430127041742287,2204
"400","LVP control",0.156765676567657,1212
"401","LVP control",0.0744215134459037,1599
"402","LVP control",-0.724743777452416,1366
"403","LVP control",-1,10
"404","LVP control",0.980416156670747,1634
"405","LVP control",0.126126126126126,222
"406","LVP control",0.38973162193699,1714
"407","LVP control",-0.994990607388854,1597
"408","LVP control",-0.0731707317073171,41
"409","LVP control",0.937777777777778,1350
"410","LVP control",-0.962371721778791,1754
"411","LVP control",0.652173913043478,1679
"412","LVP control",-0.795714997508719,2007
"413","LVP control",0.433234421364985,1348
"414","LVP control",-0.996420047732697,1676
"415","LVP control",1,931
"416","LVP control",-0.993648553281581,2834
"417","LVP control",1,163
"418","LVP control",0.714285714285714,7
"419","LVP control",-1,4651
"420","LVP control",-0.640110735158413,3251
"421","LVP control",-1,2689
"422","LVP control",-0.954484605087015,747
"423","LVP control",0.980392156862745,510
"424","LVP control",0.931578947368421,760
"425","LVP control",1,8
"426","LVP control",-0.6,5
